"","name","month","value","measure","mode","inflation","category"
"1953","ковбаси варено-копчені в/ґ",2022-01-01,280.714285714286,"median",1,-1.8,"ковбасні вироби"
"1954","сосиски, сардельки першого ґатунку",2022-01-01,138.42,"median",1,-2.6,"ковбасні вироби"
"1955","ковбаси варені вищого ґатунку",2022-01-01,196.25,"median",1,0,"ковбасні вироби"
"1956","ковбаси варені першого ґатунку",2022-01-01,134.2,"median",1,0,"ковбасні вироби"
"1957","пиво",2022-01-01,58.1666666666667,"median",0.5,-0.98,"алкоголь"
"1958","вироби з м’яса делікатесні",2022-01-01,351.7,"median",1,4,"ковбасні вироби"
"1959","оселедці",2022-01-01,182.021276595745,"median",0.18,5.4,"риба та морепродукти"
"1960","скумбрія копчена",2022-01-01,226.5,"median",1,-11,"риба та морепродукти"
"1961","ікра червона",2022-01-01,1978.68181818182,"median",0.1,-6.5,"риба та морепродукти"
"1962","морепродукти",2022-01-01,260.888888888889,"median",0.2,-4.4,"риба та морепродукти"
